CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book
794977533,Attrited Customer,62,M,0,High School,Married,$60K - $80K,Blue,56
752604633,Attrited Customer,57,M,2,College,Married,$40K - $60K,Blue,50
711242058,Attrited Customer,48,M,4,Unknown,Single,$80K - $120K,Blue,36
718121658,Attrited Customer,56,M,1,College,Married,$60K - $80K,Blue,44
711593808,Attrited Customer,55,M,1,High School,Married,$60K - $80K,Blue,46
718731183,Attrited Customer,61,M,1,Unknown,Married,$40K - $60K,Blue,49
713865333,Attrited Customer,45,F,4,Uneducated,Married,Less than $40K,Blue,38
797707008,Attrited Customer,44,F,3,Doctorate,Married,Less than $40K,Blue,38
720370533,Attrited Customer,55,M,3,Uneducated,Married,$60K - $80K,Blue,44
718675158,Attrited Customer,55,F,1,Unknown,Married,Less than $40K,Blue,36
720605808,Attrited Customer,53,F,1,Graduate,Single,Less than $40K,Blue,36
770724558,Attrited Customer,42,M,2,College,Married,$60K - $80K,Blue,28
719309958,Attrited Customer,55,M,3,Doctorate,Single,$80K - $120K,Blue,35
808897683,Attrited Customer,53,M,1,Graduate,Single,$80K - $120K,Blue,48
718939083,Attrited Customer,54,F,2,Graduate,Married,Less than $40K,Blue,45
712979133,Attrited Customer,55,M,4,High School,Married,$80K - $120K,Blue,41
720071583,Attrited Customer,48,F,2,Unknown,Married,Less than $40K,Blue,36
812420358,Attrited Customer,61,F,0,Graduate,Married,Less than $40K,Blue,56
798792408,Attrited Customer,48,M,3,High School,Married,$80K - $120K,Blue,42
711204483,Attrited Customer,56,M,4,High School,Married,$60K - $80K,Blue,46
713945883,Attrited Customer,62,F,2,Graduate,Married,Less than $40K,Blue,52
789513858,Attrited Customer,43,M,3,Unknown,Married,$40K - $60K,Blue,35
771963708,Attrited Customer,56,M,3,Unknown,Married,$60K - $80K,Blue,45
712433508,Attrited Customer,59,F,1,Unknown,Married,Unknown,Blue,50
778506633,Attrited Customer,43,F,4,College,Married,Less than $40K,Blue,23
713530833,Attrited Customer,58,M,2,Graduate,Married,$40K - $60K,Blue,48
778699908,Attrited Customer,43,M,2,Uneducated,Married,$60K - $80K,Blue,24
716991933,Attrited Customer,53,F,3,Uneducated,Single,Less than $40K,Blue,35
802002858,Attrited Customer,62,F,1,High School,Married,Unknown,Blue,56
712373208,Attrited Customer,43,M,3,Doctorate,Single,$60K - $80K,Blue,35
708455883,Attrited Customer,57,M,1,Graduate,Single,$80K - $120K,Blue,36
763895958,Attrited Customer,53,M,2,High School,Married,$120K +,Blue,46
711927108,Attrited Customer,54,M,3,High School,Married,$80K - $120K,Blue,36
711147483,Attrited Customer,46,F,3,Graduate,Single,Less than $40K,Blue,28
720990183,Attrited Customer,54,M,5,High School,Married,$60K - $80K,Blue,36
716608608,Attrited Customer,41,M,2,Uneducated,Married,$80K - $120K,Blue,33
788673708,Attrited Customer,57,F,2,High School,Married,$40K - $60K,Blue,45
816600933,Attrited Customer,56,M,0,College,Married,$80K - $120K,Blue,51
714208533,Attrited Customer,43,M,3,High School,Married,$60K - $80K,Blue,36
720426708,Attrited Customer,56,M,3,High School,Single,$60K - $80K,Blue,45
708983658,Attrited Customer,51,M,2,Uneducated,Single,$120K +,Blue,39
778663458,Attrited Customer,65,M,1,High School,Married,Less than $40K,Blue,47
716024808,Attrited Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,36
721249158,Attrited Customer,42,M,2,Uneducated,Single,$60K - $80K,Blue,30
713845083,Attrited Customer,41,F,4,High School,Single,Less than $40K,Blue,36
813499458,Attrited Customer,45,M,5,High School,Unknown,$60K - $80K,Blue,40
712240083,Attrited Customer,38,F,3,Unknown,Single,Less than $40K,Blue,30
772532208,Attrited Customer,51,F,2,Doctorate,Married,Less than $40K,Blue,41
778929783,Attrited Customer,40,M,3,Graduate,Divorced,$80K - $120K,Blue,22
713053383,Attrited Customer,42,M,3,Graduate,Married,$80K - $120K,Blue,36
803595858,Attrited Customer,56,F,3,High School,Married,$40K - $60K,Blue,51
710754933,Attrited Customer,61,F,0,Graduate,Married,Less than $40K,Blue,49
720007383,Attrited Customer,41,F,2,Unknown,Single,Unknown,Blue,28
718362783,Attrited Customer,35,M,2,Graduate,Married,$80K - $120K,Blue,27
708856983,Attrited Customer,36,M,3,Post-Graduate,Married,$120K +,Blue,27
709961958,Attrited Customer,58,F,4,High School,Divorced,Unknown,Blue,45
717412608,Attrited Customer,38,F,2,High School,Married,$40K - $60K,Blue,28
712120608,Attrited Customer,35,M,3,College,Married,$80K - $120K,Blue,27
710899833,Attrited Customer,36,M,2,Graduate,Married,$40K - $60K,Blue,18
739594758,Attrited Customer,51,F,2,Graduate,Single,Less than $40K,Blue,44
714078558,Attrited Customer,62,F,1,High School,Married,$40K - $60K,Blue,53
779216358,Attrited Customer,48,M,2,College,Married,$80K - $120K,Blue,38
712924383,Attrited Customer,55,M,3,Unknown,Single,$60K - $80K,Blue,36
714983283,Attrited Customer,39,F,3,High School,Single,Less than $40K,Blue,36
710406633,Attrited Customer,51,F,3,Uneducated,Married,Unknown,Blue,36
709991883,Attrited Customer,53,M,1,Graduate,Married,$80K - $120K,Blue,42
809951133,Attrited Customer,54,M,3,College,Single,$120K +,Blue,49
720141408,Attrited Customer,49,F,2,Graduate,Single,Less than $40K,Blue,31
768490458,Attrited Customer,49,M,2,Uneducated,Married,$80K - $120K,Blue,43
712196508,Attrited Customer,46,F,3,High School,Single,Unknown,Blue,34
711159108,Attrited Customer,58,F,0,High School,Married,Less than $40K,Blue,36
713206683,Attrited Customer,40,M,4,Graduate,Single,$80K - $120K,Silver,22
778388358,Attrited Customer,56,M,3,Graduate,Single,$60K - $80K,Blue,36
779722308,Attrited Customer,45,F,3,High School,Married,$40K - $60K,Blue,30
713823033,Attrited Customer,31,F,2,Unknown,Married,Unknown,Blue,20
787515333,Attrited Customer,40,M,3,Uneducated,Married,$80K - $120K,Blue,29
710819733,Attrited Customer,56,M,3,Graduate,Married,$120K +,Blue,36
818375733,Attrited Customer,51,F,2,College,Married,$40K - $60K,Blue,46
709707033,Attrited Customer,45,M,3,Graduate,Single,$60K - $80K,Blue,32
721178583,Attrited Customer,37,F,3,Graduate,Unknown,Unknown,Blue,22
771544533,Attrited Customer,42,F,5,High School,Married,Unknown,Blue,30
708927108,Attrited Customer,53,M,2,Graduate,Married,$120K +,Blue,36
711772008,Attrited Customer,35,F,3,Graduate,Single,Less than $40K,Blue,22
708799983,Attrited Customer,40,M,1,Post-Graduate,Married,$60K - $80K,Blue,36
718418958,Attrited Customer,30,M,1,Post-Graduate,Divorced,Less than $40K,Blue,36
821179233,Attrited Customer,50,F,1,Post-Graduate,Single,$40K - $60K,Blue,46
813752433,Attrited Customer,43,F,3,Graduate,Single,Less than $40K,Blue,38
708083283,Attrited Customer,58,M,0,Unknown,Single,$40K - $60K,Blue,45
806407308,Attrited Customer,54,F,3,College,Single,Unknown,Blue,49
758583708,Attrited Customer,37,F,3,Graduate,Single,Less than $40K,Blue,24
721003008,Attrited Customer,36,F,4,Graduate,Married,Less than $40K,Blue,24
778708533,Attrited Customer,26,F,0,High School,Single,$40K - $60K,Blue,13
720122808,Attrited Customer,52,M,2,High School,Married,$60K - $80K,Silver,35
713259858,Attrited Customer,26,M,0,High School,Single,$40K - $60K,Blue,15
716053083,Attrited Customer,33,M,2,Graduate,Married,$120K +,Blue,21
709537683,Attrited Customer,37,M,3,College,Married,$80K - $120K,Blue,30
790145733,Attrited Customer,40,M,3,College,Single,$80K - $120K,Silver,33
711509658,Attrited Customer,61,M,2,Graduate,Married,$120K +,Blue,49
719818983,Attrited Customer,39,M,1,College,Divorced,$80K - $120K,Blue,28
804668658,Attrited Customer,26,F,0,Uneducated,Single,Less than $40K,Blue,20
720610008,Attrited Customer,59,M,1,College,Married,$120K +,Blue,50
771028533,Attrited Customer,48,F,3,Post-Graduate,Married,Less than $40K,Silver,35
819610908,Attrited Customer,38,M,2,Uneducated,Single,$80K - $120K,Blue,33
816013383,Attrited Customer,65,F,0,Graduate,Divorced,Less than $40K,Blue,56
808273533,Attrited Customer,39,M,2,High School,Single,$60K - $80K,Blue,34
785011383,Attrited Customer,36,F,0,Uneducated,Divorced,$40K - $60K,Blue,30
716382708,Attrited Customer,46,F,2,Graduate,Single,Less than $40K,Blue,36
711224733,Attrited Customer,32,M,0,High School,Married,$120K +,Blue,27
791856033,Attrited Customer,45,M,2,College,Divorced,$80K - $120K,Blue,39
716448783,Attrited Customer,48,F,3,Graduate,Married,$40K - $60K,Blue,39
708892833,Attrited Customer,37,M,2,Graduate,Married,$120K +,Blue,30
719318583,Attrited Customer,37,M,3,High School,Married,Less than $40K,Blue,26
720504633,Attrited Customer,46,M,2,Uneducated,Unknown,$60K - $80K,Blue,32
711357858,Attrited Customer,47,F,3,Graduate,Single,Less than $40K,Blue,36
711816108,Attrited Customer,40,M,3,High School,Single,$80K - $120K,Blue,29
713663508,Attrited Customer,58,M,0,High School,Unknown,$40K - $60K,Blue,42
789777408,Attrited Customer,26,F,0,Post-Graduate,Single,Less than $40K,Blue,15
718577958,Attrited Customer,39,M,2,Uneducated,Married,$120K +,Blue,26
717664008,Attrited Customer,37,M,3,College,Married,$60K - $80K,Blue,19
711562833,Attrited Customer,35,M,4,Graduate,Married,$80K - $120K,Blue,24
720181758,Attrited Customer,37,M,0,Doctorate,Married,$120K +,Blue,22
720427683,Attrited Customer,58,M,2,Uneducated,Single,$120K +,Blue,46
711692508,Attrited Customer,54,F,2,Post-Graduate,Married,Less than $40K,Blue,47
717930483,Attrited Customer,37,M,2,Graduate,Single,$120K +,Blue,25
715651833,Attrited Customer,65,M,1,Unknown,Single,Less than $40K,Blue,36
715517733,Attrited Customer,46,F,3,High School,Single,Less than $40K,Silver,39
778693458,Attrited Customer,32,M,1,High School,Divorced,$60K - $80K,Blue,13
712551258,Attrited Customer,39,M,1,Uneducated,Married,Less than $40K,Blue,36
709564683,Attrited Customer,32,M,2,Graduate,Married,$40K - $60K,Blue,22
772292358,Attrited Customer,30,M,1,College,Divorced,Less than $40K,Blue,19
713021208,Attrited Customer,55,F,2,College,Single,Unknown,Silver,36
713104458,Attrited Customer,46,M,2,Graduate,Single,$40K - $60K,Blue,31
715366083,Attrited Customer,52,F,0,Doctorate,Single,Less than $40K,Blue,36
716244033,Attrited Customer,44,M,3,Graduate,Married,$40K - $60K,Blue,33
787463508,Attrited Customer,26,M,0,Graduate,Single,Less than $40K,Blue,13
778381608,Attrited Customer,48,M,4,Doctorate,Single,$80K - $120K,Blue,28
710586483,Attrited Customer,26,F,0,High School,Single,Unknown,Blue,13
709164408,Attrited Customer,32,M,1,Uneducated,Married,Less than $40K,Blue,23
709785783,Attrited Customer,35,F,0,Graduate,Single,Less than $40K,Blue,25
720185058,Attrited Customer,46,M,3,Graduate,Married,$60K - $80K,Blue,36
717813558,Attrited Customer,57,F,3,High School,Single,Unknown,Blue,36
719470458,Attrited Customer,46,M,3,College,Single,$80K - $120K,Blue,39
715319958,Attrited Customer,48,M,3,Uneducated,Married,$120K +,Blue,36
714412308,Attrited Customer,33,M,3,Graduate,Married,$80K - $120K,Blue,36
721243083,Attrited Customer,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41
798022683,Attrited Customer,43,M,1,Graduate,Married,$80K - $120K,Blue,37
716112933,Attrited Customer,39,F,3,Graduate,Married,Unknown,Blue,36
789853533,Attrited Customer,54,M,3,High School,Married,$40K - $60K,Blue,44
806256333,Attrited Customer,41,M,4,Graduate,Unknown,$60K - $80K,Blue,36
719146008,Attrited Customer,48,M,3,Graduate,Married,$80K - $120K,Blue,39
720693033,Attrited Customer,33,M,1,Unknown,Married,$60K - $80K,Blue,36
712784058,Attrited Customer,45,F,2,High School,Divorced,Unknown,Blue,36
789963033,Attrited Customer,54,F,1,Graduate,Single,Less than $40K,Blue,45
827984658,Attrited Customer,49,M,3,Post-Graduate,Married,$80K - $120K,Blue,45
716331408,Attrited Customer,52,F,4,Unknown,Married,Less than $40K,Blue,36
710524533,Attrited Customer,38,F,4,College,Married,$40K - $60K,Blue,36
709413933,Attrited Customer,56,M,2,High School,Single,$40K - $60K,Blue,40
714967233,Attrited Customer,52,M,2,Doctorate,Married,$120K +,Blue,34
787460883,Attrited Customer,41,M,3,Uneducated,Married,$40K - $60K,Blue,28
709206333,Attrited Customer,44,F,4,Graduate,Single,$40K - $60K,Blue,30
821149008,Attrited Customer,52,M,2,Graduate,Single,$80K - $120K,Blue,48
772273983,Attrited Customer,48,M,4,Uneducated,Single,$40K - $60K,Blue,37
719902908,Attrited Customer,51,M,3,Unknown,Married,$80K - $120K,Blue,36
709163358,Attrited Customer,41,M,5,Unknown,Single,$60K - $80K,Gold,32
708139833,Attrited Customer,40,M,3,Graduate,Unknown,$60K - $80K,Blue,30
827476983,Attrited Customer,56,F,2,College,Single,Less than $40K,Blue,52
708563433,Attrited Customer,65,F,0,High School,Single,Unknown,Blue,56
738627708,Attrited Customer,49,F,2,Unknown,Single,Unknown,Blue,41
771833433,Attrited Customer,49,M,2,High School,Married,$80K - $120K,Blue,38
828291858,Attrited Customer,38,M,3,College,Single,$60K - $80K,Blue,34
720725058,Attrited Customer,51,F,1,Graduate,Single,Less than $40K,Blue,37
711935283,Attrited Customer,55,M,5,Post-Graduate,Single,$80K - $120K,Blue,47
716950758,Attrited Customer,46,M,4,High School,Married,$60K - $80K,Blue,36
715570533,Attrited Customer,48,M,3,Post-Graduate,Unknown,$120K +,Blue,35
721532583,Attrited Customer,45,M,4,Graduate,Married,$80K - $120K,Blue,36
712623258,Attrited Customer,42,F,3,Graduate,Married,Less than $40K,Blue,36
720508233,Attrited Customer,62,M,0,Unknown,Single,$40K - $60K,Silver,42
716387733,Attrited Customer,49,M,4,Graduate,Single,$60K - $80K,Blue,36
788739633,Attrited Customer,38,M,1,Unknown,Married,$120K +,Blue,16
720758808,Attrited Customer,38,M,3,College,Single,$60K - $80K,Blue,18
715858008,Attrited Customer,49,F,1,Uneducated,Married,$40K - $60K,Blue,39
813053733,Attrited Customer,53,M,4,Unknown,Single,$120K +,Blue,48
720529308,Attrited Customer,63,M,0,High School,Single,$60K - $80K,Blue,48
710658483,Attrited Customer,47,M,4,Graduate,Unknown,$40K - $60K,Blue,34
710278458,Attrited Customer,52,M,2,High School,Single,$80K - $120K,Blue,43
811035483,Attrited Customer,47,M,3,Uneducated,Divorced,$120K +,Silver,42
807593058,Attrited Customer,41,F,3,Unknown,Single,$40K - $60K,Blue,36
788030208,Attrited Customer,42,F,2,Uneducated,Single,Less than $40K,Silver,33
720379533,Attrited Customer,47,M,3,Unknown,Unknown,$120K +,Blue,36
720983733,Attrited Customer,44,M,3,Unknown,Single,$60K - $80K,Blue,36
719099583,Attrited Customer,42,M,3,Graduate,Married,$40K - $60K,Blue,34
710654808,Attrited Customer,46,M,4,Graduate,Single,$80K - $120K,Blue,36
711196458,Attrited Customer,38,F,1,Unknown,Married,Less than $40K,Blue,20
709224033,Attrited Customer,53,M,4,Uneducated,Single,$60K - $80K,Blue,43
804673308,Attrited Customer,49,M,5,Uneducated,Married,$40K - $60K,Blue,44
767784708,Attrited Customer,48,M,0,Doctorate,Married,$60K - $80K,Blue,41
716573058,Attrited Customer,54,F,3,Doctorate,Unknown,Less than $40K,Blue,36
716977758,Attrited Customer,44,F,3,Uneducated,Married,Less than $40K,Blue,36
817889583,Attrited Customer,61,F,0,Graduate,Single,$40K - $60K,Blue,56
717242058,Attrited Customer,43,F,5,Graduate,Married,Less than $40K,Blue,39
716306583,Attrited Customer,64,M,0,Graduate,Single,Less than $40K,Blue,36
721233033,Attrited Customer,50,M,2,High School,Single,$80K - $120K,Blue,38
779502333,Attrited Customer,50,M,4,Graduate,Single,$120K +,Silver,32
803124408,Attrited Customer,41,F,3,Unknown,Married,Unknown,Blue,35
789964983,Attrited Customer,45,M,2,Graduate,Divorced,$40K - $60K,Blue,36
709297608,Attrited Customer,38,M,3,College,Single,$80K - $120K,Blue,26
817977933,Attrited Customer,63,F,0,Graduate,Single,Less than $40K,Blue,56
714629358,Attrited Customer,54,F,3,Graduate,Divorced,$40K - $60K,Blue,34
711538758,Attrited Customer,39,M,5,Graduate,Single,$60K - $80K,Blue,36
719987733,Attrited Customer,51,F,3,Unknown,Single,$40K - $60K,Blue,38
719657583,Attrited Customer,44,M,3,Graduate,Married,$40K - $60K,Blue,40
789713208,Attrited Customer,62,F,0,Doctorate,Single,Less than $40K,Blue,50
715371108,Attrited Customer,45,M,3,Graduate,Married,$80K - $120K,Blue,40
796903083,Attrited Customer,47,F,1,Doctorate,Married,$40K - $60K,Blue,36
772137183,Attrited Customer,52,M,2,Graduate,Single,$120K +,Blue,41
821768658,Attrited Customer,52,M,0,Unknown,Single,$120K +,Blue,48
812449758,Attrited Customer,43,M,3,High School,Single,$60K - $80K,Blue,38
815085708,Attrited Customer,60,F,0,High School,Single,$40K - $60K,Blue,55
715485483,Attrited Customer,39,F,5,Graduate,Married,Less than $40K,Blue,36
794560833,Attrited Customer,47,F,3,Graduate,Married,$40K - $60K,Blue,31
718197108,Attrited Customer,54,M,2,Graduate,Single,$80K - $120K,Blue,36
710333883,Attrited Customer,48,M,3,Graduate,Married,$60K - $80K,Blue,37
789177333,Attrited Customer,47,F,2,Graduate,Married,Less than $40K,Blue,36
711079308,Attrited Customer,40,M,3,Graduate,Married,$60K - $80K,Blue,27
708733983,Attrited Customer,50,F,1,Doctorate,Single,$40K - $60K,Blue,36
711205758,Attrited Customer,45,M,3,College,Single,$80K - $120K,Silver,33
714659133,Attrited Customer,47,M,5,High School,Married,$80K - $120K,Blue,37
716425833,Attrited Customer,38,M,2,Graduate,Single,$120K +,Blue,36
712164333,Attrited Customer,40,M,4,High School,Married,$60K - $80K,Blue,29
826471458,Attrited Customer,42,M,3,Graduate,Married,Less than $40K,Blue,38
815851233,Attrited Customer,52,M,3,High School,Single,$120K +,Blue,47
771776808,Attrited Customer,44,M,4,Uneducated,Married,$40K - $60K,Blue,33
789365508,Attrited Customer,49,M,2,High School,Divorced,$40K - $60K,Blue,39
716404383,Attrited Customer,47,F,2,Graduate,Married,Unknown,Blue,36
711843708,Attrited Customer,61,F,0,Graduate,Divorced,Less than $40K,Blue,36
718877883,Attrited Customer,44,F,3,Unknown,Single,Less than $40K,Blue,36
719604858,Attrited Customer,45,F,3,Unknown,Married,Less than $40K,Blue,31
714549558,Attrited Customer,41,F,2,Graduate,Married,$40K - $60K,Blue,32
822955008,Attrited Customer,63,M,1,Graduate,Single,$60K - $80K,Blue,56
711275433,Attrited Customer,47,M,4,Uneducated,Unknown,Unknown,Blue,36
827117808,Attrited Customer,45,M,1,Graduate,Single,$60K - $80K,Blue,41
804462633,Attrited Customer,43,F,3,High School,Divorced,Less than $40K,Blue,38
709321908,Attrited Customer,47,M,3,High School,Single,$80K - $120K,Blue,29
712597233,Attrited Customer,37,M,2,Uneducated,Unknown,$40K - $60K,Blue,36
719816583,Attrited Customer,46,M,3,Doctorate,Married,$120K +,Blue,38
713004933,Attrited Customer,40,M,3,High School,Married,$60K - $80K,Blue,27
772466508,Attrited Customer,45,M,3,Unknown,Single,$60K - $80K,Blue,35
737921733,Attrited Customer,62,F,1,Unknown,Single,Less than $40K,Blue,55
716575758,Attrited Customer,50,F,2,College,Unknown,Unknown,Blue,39
714097683,Attrited Customer,55,F,2,Graduate,Married,$40K - $60K,Blue,49
708121908,Attrited Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36
709435533,Attrited Customer,53,F,1,Unknown,Single,Less than $40K,Blue,41
719874633,Attrited Customer,44,M,1,High School,Unknown,$80K - $120K,Gold,36
719168883,Attrited Customer,45,F,5,Unknown,Single,Less than $40K,Blue,34
714212358,Attrited Customer,38,F,3,High School,Single,Unknown,Blue,36
721104708,Attrited Customer,41,F,3,Post-Graduate,Single,Less than $40K,Blue,36
717461283,Attrited Customer,38,F,2,Graduate,Single,Unknown,Blue,24
803028858,Attrited Customer,38,F,2,Graduate,Single,Less than $40K,Blue,32
712751133,Attrited Customer,42,M,3,Doctorate,Single,$60K - $80K,Blue,35
708170508,Attrited Customer,38,M,2,Graduate,Married,$60K - $80K,Blue,36
719770158,Attrited Customer,54,F,3,Post-Graduate,Single,Less than $40K,Blue,49
716271183,Attrited Customer,45,F,2,Uneducated,Single,Less than $40K,Blue,37
816261858,Attrited Customer,61,M,0,Graduate,Single,$40K - $60K,Blue,56
721308033,Attrited Customer,45,F,2,Post-Graduate,Single,Less than $40K,Blue,37
774760458,Attrited Customer,62,F,1,High School,Unknown,$40K - $60K,Blue,56
804415083,Attrited Customer,45,M,3,Unknown,Married,$60K - $80K,Blue,40
771424908,Attrited Customer,38,M,2,Unknown,Unknown,$60K - $80K,Blue,26
711012783,Attrited Customer,43,M,4,Graduate,Single,$120K +,Blue,36
708788583,Attrited Customer,64,F,1,College,Unknown,Less than $40K,Blue,56
819714408,Attrited Customer,44,F,2,Graduate,Married,Unknown,Blue,39
713730933,Attrited Customer,53,F,4,Graduate,Married,Less than $40K,Blue,36
712235433,Attrited Customer,43,F,1,Graduate,Single,Less than $40K,Blue,36
714377058,Attrited Customer,63,F,1,Unknown,Single,Less than $40K,Blue,36
708654933,Attrited Customer,51,F,2,Doctorate,Married,Less than $40K,Platinum,42
720283758,Attrited Customer,44,F,2,Uneducated,Married,Unknown,Blue,36
718735908,Attrited Customer,47,M,4,Graduate,Single,$120K +,Blue,35
804833058,Attrited Customer,49,M,3,Unknown,Single,$80K - $120K,Blue,44
713639058,Attrited Customer,49,M,3,High School,Married,$60K - $80K,Blue,34
709560258,Attrited Customer,49,F,3,Graduate,Single,Unknown,Blue,31
720362058,Attrited Customer,57,M,2,Uneducated,Single,$60K - $80K,Silver,49
719602908,Attrited Customer,42,F,2,Post-Graduate,Single,$40K - $60K,Blue,34
709713033,Attrited Customer,55,M,1,College,Single,$80K - $120K,Blue,48
708633783,Attrited Customer,43,M,3,Uneducated,Single,$80K - $120K,Blue,30
720950283,Attrited Customer,47,M,3,High School,Married,$80K - $120K,Blue,34
717840108,Attrited Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,41
715016508,Attrited Customer,42,F,3,High School,Married,$40K - $60K,Blue,36
781306758,Attrited Customer,58,M,2,Uneducated,Single,$80K - $120K,Blue,52
712294083,Attrited Customer,54,F,2,High School,Single,Unknown,Blue,44
711334983,Attrited Customer,41,F,3,High School,Married,Unknown,Blue,32
716434533,Attrited Customer,40,M,3,High School,Married,$80K - $120K,Blue,36
828215508,Attrited Customer,55,F,2,Graduate,Unknown,Less than $40K,Blue,50
712812408,Attrited Customer,40,F,3,Unknown,Married,Less than $40K,Blue,28
713585958,Attrited Customer,48,F,4,College,Married,Less than $40K,Blue,36
710493558,Attrited Customer,46,F,1,Post-Graduate,Married,$40K - $60K,Blue,38
827964858,Attrited Customer,58,F,1,Uneducated,Divorced,Unknown,Blue,54
773667708,Attrited Customer,50,M,1,Graduate,Divorced,$60K - $80K,Blue,44
812979408,Attrited Customer,39,F,0,Unknown,Married,$40K - $60K,Silver,34
806947308,Attrited Customer,40,M,4,Post-Graduate,Married,$60K - $80K,Blue,35
708386958,Attrited Customer,47,F,3,Unknown,Married,Less than $40K,Blue,34
718220358,Attrited Customer,58,M,1,Graduate,Single,$120K +,Blue,36
712656783,Attrited Customer,49,M,1,Graduate,Single,$120K +,Blue,36
